# Detection Codes

_73 codes across 12 categories. Generated from the catalog; do not edit by hand._

## CRITICAL severity

| Code | Name | Category | Detector | CWE |
| `PRIV-002` | SUID/SGID bit set in a function | Privilege Escalation | privilege | CWE-732 |
| `PRIV-003` | Sudoers modification | Privilege Escalation | privilege | CWE-250 |
| `SHELL-001` | Bash reverse shell | Malicious Code | rules | CWE-506 |
| `SHELL-002` | Netcat reverse shell | Malicious Code | rules | CWE-506 |
| `SHELL-003` | Python reverse shell | Malicious Code | rules | CWE-506 |
| `SHELL-004` | Socat shell | Malicious Code | rules | CWE-506 |

## HIGH severity

| Code | Name | Category | Detector | CWE |
|------|------|----------|----------|-----|
| `CHK-001` | No checksums for sources | Cryptography | checksum | CWE-354 |
| `CHK-005` | All non-VCS sources use SKIP | Cryptography | checksum | CWE-354 |
| `CHK-006` | Checksum count mismatch | Configuration | checksum | - |
| `DEEP-002` | Large embedded encoded blob | Obfuscation | deep | CWE-506 |
| `ENV-002` | PATH manipulation | Malicious Code | rules | CWE-426 |
| `FUNC-001` | Network access in a build function | Network Security | pattern | - |
| `HIDDEN-001` | Hidden file creation in home | Malicious Code | rules | - |
| `HIDDEN-002` | Tmp directory execution | Malicious Code | rules | - |
| `HIDDEN-003` | Binary in non-standard location | Malicious Code | rules | - |
| `INSTALL-002` | Binary execution in install script | Malicious Code | rules | CWE-94 |
| `OBF-001` | Base64 decoding | Obfuscation | rules | CWE-506 |
| `OBF-002` | Eval usage | Command Injection | rules | CWE-95 |
| `OBF-003` | Hex-encoded payload | Obfuscation | rules | CWE-506 |
| `OBF-005` | Gzip decode execution | Obfuscation | rules | CWE-94 |
| `PERSIST-003` | Cron job creation | Persistence | rules | - |
| `PERSIST-005` | XDG autostart creation | Persistence | rules | - |
| `PRIV-005` | Kernel module operations | Privilege Escalation | privilege | - |
| `PRIV-006` | Sudo in an install hook | Privilege Escalation | privilege | CWE-250 |
| `PROV-001` | Package gained risky behavior | Suspicious Metadata | provenance | CWE-506 |
| `SRC-002` | Suspicious source domain | Network Security | source | - |
| `SRC-003` | Raw IP address in source URL | Network Security | source | - |
| `SRC-004` | URL shortener in source | Network Security | source | - |
| `URL-001` | Raw IP in URL | Network Security | rules | - |
| `URL-002` | URL shortener | Network Security | rules | - |
| `URL-003` | Dynamic DNS domain | Network Security | rules | - |

## MEDIUM severity

| Code | Name | Category | Detector | CWE |
|------|------|----------|----------|-----|
| `CHK-002` | MD5 checksums used | Cryptography | checksum | CWE-328 |
| `CHK-003` | SHA1 checksums used | Cryptography | checksum | CWE-328 |
| `CHK-004` | Some sources use SKIP checksum | Cryptography | checksum | CWE-354 |
| `OBF-004` | String concatenation obfuscation | Obfuscation | rules | - |
| `PRIV-004` | Capabilities being set | Privilege Escalation | privilege | CWE-250 |
| `SRC-001` | Insecure source/transport protocol | Network Security | source | CWE-319 |
| `SRC-005` | No sources with a build function | Configuration | source | - |

## LOW severity

| Code | Name | Category | Detector | CWE |
|------|------|----------|----------|-----|
| `META-001` | Provides impersonation | Suspicious Metadata | rules | - |
| `SRC-006` | VCS source from non-standard host | Network Security | source | - |
| `SRC-007` | VCS source not pinned to a commit | Network Security | source | CWE-494 |

## INFO severity

| Code | Name | Category | Detector | CWE |
|------|------|----------|----------|-----|
| `EXAMPLE-001` | Example: references example.com | Configuration | user | - |

